Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:32:20

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
27:34              | 0.00         | 00:00              | 0.00        
28:33              | 0.10         | 27:34              | 0.00        
28:33              | 0.00         | 27:39              | 1.00        
28:51              | 0.10         | 27:39              | 1.00        
28:52              | 0.00         | 27:39              | 2.00        
29:14              | 0.10         | 27:39              | 2.00        
29:14              | 0.00         | 27:40              | 4.00        
29:43              | 0.10         | 27:40              | 3.00        
29:43              | 0.00         | 27:40              | 4.00        
29:44              | 0.10         | 27:40              | 3.00        
29:44              | 0.00         | 27:40              | 3.00        
30:36              | 0.10         | 27:40              | 2.00        
30:37              | 0.00         | 27:40              | 2.00        
30:38              | 0.10         | 27:40              | 1.00        
30:38              | 0.00         | 27:41              | 1.00        
30:40              | 0.10         | 27:41              | 0.00        
30:40              | 0.00         | 27:45              | 6.00        
30:47              | 0.10         | 27:45              | 6.00        
30:47              | 0.00         | 27:45              | 5.00        
30:48              | 0.10         | 27:45              | 4.00        
30:48              | 0.00         | 27:46              | 3.00        
31:04              | 0.10         | 27:46              | 3.00        
31:04              | 0.00         | 27:46              | 2.00        
31:16              | 0.10         | 27:46              | 3.00        
31:17              | 0.00         | 27:47              | 2.00        
31:23              | 0.10         | 27:47              | 3.00        
31:24              | 0.00         | 27:47              | 3.00        
31:25              | 0.10         | 27:47              | 4.00        
31:25              | 0.00         | 27:48              | 5.00        
31:50              | 0.10         | 27:48              | 4.00        
31:51              | 0.00         | 27:48              | 4.00        
31:56              | 0.10         | 27:48              | 3.00        
31:56              | 0.10         | 27:48              | 3.00        
31:57              | 0.00         | 27:48              | 2.00        
31:58              | 0.00         | 27:48              | 2.00        
31:59              | 0.10         | 27:48              | 1.00        
31:59              | 0.00         | 27:48              | 1.00        
32:00              | 0.10         | 27:48              | 0.00        
32:00              | 0.00         | 27:48              | 1.00        
32:02              | 0.10         | 27:49              | 1.00        
32:02              | 0.00         | 27:49              | 2.00        
32:10              | 0.10         | 27:49              | 2.00        
32:10              | 0.10         | 27:49              | 3.00        
32:11              | 0.00         | 27:50              | 3.00        
32:11              | 0.00         | 27:51              | 4.00        
32:13              | 0.10         | 27:52              | 4.00        
32:13              | 0.00         | 27:52              | 3.00        
32:15              | 0.10         | 27:52              | 3.00        
32:16              | 0.00         | 27:52              | 4.00        
32:20              | 0.10         | 27:52              | 4.00        
                   |              | 27:52              | 3.00        
                   |              | 27:52              | 4.00        
                   |              | 27:53              | 3.00        
                   |              | 27:53              | 2.00        
                   |              | 27:53              | 2.00        
                   |              | 27:54              | 3.00        
                   |              | 27:54              | 3.00        
                   |              | 27:54              | 2.00        
                   |              | 27:54              | 2.00        
                   |              | 27:54              | 1.00        
                   |              | 27:54              | 2.00        
                   |              | 27:54              | 4.00        
                   |              | 27:55              | 4.00        
                   |              | 27:55              | 3.00        
                   |              | 27:55              | 3.00        
                   |              | 27:55              | 1.00        
                   |              | 27:55              | 0.00        
                   |              | 27:55              | 1.00        
                   |              | 27:55              | 2.00        
                   |              | 27:55              | 2.00        
                   |              | 27:56              | 3.00        
                   |              | 27:56              | 4.00        
                   |              | 27:56              | 4.00        
                   |              | 27:56              | 3.00        
                   |              | 27:57              | 2.00        
                   |              | 27:57              | 2.00        
                   |              | 27:58              | 1.00        
                   |              | 28:01              | 1.00        
                   |              | 28:02              | 2.00        
                   |              | 28:02              | 2.00        
                   |              | 28:03              | 3.00        
                   |              | 28:03              | 3.00        
                   |              | 28:03              | 4.00        
                   |              | 28:03              | 1.00        
                   |              | 28:03              | 2.00        
                   |              | 28:03              | 5.00        
                   |              | 28:03              | 4.00        
                   |              | 28:03              | 3.00        
                   |              | 28:03              | 2.00        
                   |              | 28:03              | 1.00        
                   |              | 28:03              | 0.00        
                   |              | 28:03              | 0.00        
                   |              | 28:04              | 2.00        
                   |              | 28:04              | 3.00        
                   |              | 28:04              | 5.00        
                   |              | 28:04              | 5.00        
                   |              | 28:04              | 6.00        
                   |              | 28:04              | 6.00        
                   |              | 28:05              | 8.00        
                   |              | 28:05              | 7.00        
                   |              | 28:05              | 6.00        
                   |              | 28:05              | 6.00        
                   |              | 28:05              | 5.00        
                   |              | 28:05              | 5.00        
                   |              | 28:05              | 6.00        
                   |              | 28:05              | 5.00        
                   |              | 28:06              | 6.00        
                   |              | 28:06              | 3.00        
                   |              | 28:06              | 4.00        
                   |              | 28:06              | 4.00        
                   |              | 28:07              | 3.00        
                   |              | 28:07              | 2.00        
                   |              | 28:07              | 1.00        
                   |              | 28:07              | 1.00        
                   |              | 28:07              | 0.00        
                   |              | 28:08              | 0.00        
                   |              | 28:13              | 1.00        
                   |              | 28:13              | 1.00        
                   |              | 28:13              | 2.00        
                   |              | 28:13              | 2.00        
                   |              | 28:13              | 3.00        
                   |              | 28:13              | 3.00        
                   |              | 28:13              | 1.00        
                   |              | 28:13              | 2.00        
                   |              | 28:13              | 2.00        
                   |              | 28:14              | 1.00        
                   |              | 28:14              | 1.00        
                   |              | 28:14              | 2.00        
                   |              | 28:14              | 2.00        
                   |              | 28:14              | 1.00        
                   |              | 28:15              | 1.00        
                   |              | 28:15              | 0.00        
                   |              | 28:16              | 1.00        
                   |              | 28:16              | 0.00        
                   |              | 28:16              | 1.00        
                   |              | 28:17              | 2.00        
                   |              | 28:17              | 2.00        
                   |              | 28:17              | 3.00        
                   |              | 28:17              | 3.00        
                   |              | 28:17              | 4.00        
                   |              | 28:17              | 4.00        
                   |              | 28:17              | 4.00        
                   |              | 28:18              | 5.00        
                   |              | 28:18              | 5.00        
                   |              | 28:18              | 6.00        
                   |              | 28:18              | 7.00        
                   |              | 28:18              | 7.00        
                   |              | 28:19              | 8.00        
                   |              | 28:19              | 8.00        
                   |              | 28:19              | 7.00        
                   |              | 28:19              | 7.00        
                   |              | 28:21              | 8.00        
                   |              | 28:21              | 7.00        
                   |              | 28:22              | 6.00        
                   |              | 28:22              | 6.00        
                   |              | 28:22              | 5.00        
                   |              | 28:22              | 5.00        
                   |              | 28:22              | 4.00        
                   |              | 28:22              | 4.00        
                   |              | 28:22              | 3.00        
                   |              | 28:22              | 3.00        
                   |              | 28:22              | 2.00        
                   |              | 28:23              | 3.00        
                   |              | 28:23              | 2.00        
                   |              | 28:23              | 1.00        
                   |              | 28:23              | 2.00        
                   |              | 28:23              | 3.00        
                   |              | 28:23              | 2.00        
                   |              | 28:23              | 3.00        
                   |              | 28:24              | 4.00        
                   |              | 28:24              | 4.00        
                   |              | 28:24              | 3.00        
                   |              | 28:24              | 3.00        
                   |              | 28:24              | 4.00        
                   |              | 28:24              | 4.00        
                   |              | 28:24              | 5.00        
                   |              | 28:25              | 5.00        
                   |              | 28:25              | 6.00        
                   |              | 28:25              | 5.00        
                   |              | 28:25              | 5.00        
                   |              | 28:25              | 4.00        
                   |              | 28:26              | 3.00        
                   |              | 28:26              | 3.00        
                   |              | 28:26              | 4.00        
                   |              | 28:26              | 2.00        
                   |              | 28:26              | 1.00        
                   |              | 28:27              | 3.00        
                   |              | 28:27              | 2.00        
                   |              | 28:27              | 3.00        
                   |              | 28:27              | 0.00        
                   |              | 28:27              | 2.00        
                   |              | 28:27              | 5.00        
                   |              | 28:27              | 6.00        
                   |              | 28:27              | 6.00        
                   |              | 28:27              | 7.00        
                   |              | 28:28              | 7.00        
                   |              | 28:28              | 6.00        
                   |              | 28:28              | 6.00        
                   |              | 28:28              | 5.00        
                   |              | 28:28              | 4.00        
                   |              | 28:28              | 4.00        
