Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:41:52

Temps (mm:ss) F    | Force (N)    | Temps Aprox        | Angle PIP (°) | Temps Adist        | Angle DIP (°)
41:32              | 0.00         | 00:00              | 0.00         | 00:00              | 0.00        
41:33              | 0.10         | 41:32              | 107.00       | 41:32              | 7.00        
41:33              | 0.00         | 41:33              | 100.00       | 41:33              | 6.00        
41:33              | 0.10         | 41:33              | 99.00        | 41:33              | 6.00        
41:35              | 0.00         | 41:36              | 92.00        | 41:36              | 5.00        
41:35              | 0.10         | 41:36              | 91.00        | 41:36              | 5.00        
41:36              | 0.00         | 41:36              | 84.00        | 41:36              | 11.00       
41:36              | 0.00         | 41:36              | 80.00        | 41:36              | 11.00       
41:36              | 0.10         | 41:36              | 77.00        | 41:36              | 10.00       
41:37              | 0.10         | 41:36              | 70.00        | 41:36              | 9.00        
41:37              | 0.00         | 41:36              | 65.00        | 41:36              | 9.00        
41:38              | 0.00         | 41:36              | 56.00        | 41:36              | 8.00        
41:38              | 0.10         | 41:36              | 48.00        | 41:36              | 7.00        
41:39              | 0.00         | 41:37              | 37.00        | 41:37              | 7.00        
41:39              | 0.10         | 41:37              | 28.00        | 41:37              | 6.00        
41:40              | 0.00         | 41:37              | 18.00        | 41:37              | 5.00        
41:40              | 0.10         | 41:37              | 10.00        | 41:37              | 3.00        
41:41              | 0.00         | 41:37              | 2.00         | 41:37              | 2.00        
41:41              | 0.10         | 41:37              | 8.00         | 41:37              | 0.00        
41:41              | 0.10         | 41:37              | 15.00        | 41:37              | 1.00        
41:42              | 0.00         | 41:37              | 22.00        | 41:37              | 1.00        
41:42              | 0.00         | 41:37              | 19.00        | 41:37              | 0.00        
41:44              | 0.10         | 41:37              | 9.00         | 41:37              | 1.00        
41:44              | 0.10         | 41:37              | 3.00         | 41:37              | 2.00        
41:45              | 0.00         | 41:38              | 9.00         | 41:38              | 3.00        
41:45              | 0.10         | 41:38              | 6.00         | 41:38              | 2.00        
41:45              | 0.00         | 41:38              | 11.00        | 41:38              | 1.00        
41:46              | 0.00         | 41:38              | 14.00        | 41:38              | 1.00        
41:47              | 0.10         | 41:38              | 7.00         | 41:38              | 0.00        
41:48              | 0.00         | 41:38              | 3.00         | 41:38              | 1.00        
41:49              | 0.10         | 41:38              | 2.00         | 41:38              | 2.00        
41:50              | 0.00         | 41:38              | 7.00         | 41:38              | 1.00        
41:51              | 0.10         | 41:39              | 18.00        | 41:39              | 0.00        
41:51              | 0.00         | 41:39              | 21.00        | 41:39              | 0.00        
41:51              | 0.10         | 41:40              | 12.00        | 41:40              | 6.00        
                   |              | 41:40              | 11.00        | 41:40              | 8.00        
                   |              | 41:40              | 12.00        | 41:40              | 8.00        
                   |              | 41:40              | 13.00        | 41:40              | 7.00        
                   |              | 41:40              | 10.00        | 41:40              | 12.00       
                   |              | 41:40              | 9.00         | 41:40              | 11.00       
                   |              | 41:40              | 8.00         | 41:40              | 11.00       
                   |              | 41:40              | 7.00         | 41:40              | 10.00       
                   |              | 41:40              | 6.00         | 41:40              | 10.00       
                   |              | 41:40              | 9.00         | 41:40              | 8.00        
                   |              | 41:40              | 12.00        | 41:40              | 8.00        
                   |              | 41:40              | 15.00        | 41:40              | 7.00        
                   |              | 41:41              | 17.00        | 41:41              | 7.00        
                   |              | 41:41              | 19.00        | 41:41              | 6.00        
                   |              | 41:41              | 23.00        | 41:41              | 6.00        
                   |              | 41:41              | 25.00        | 41:41              | 5.00        
                   |              | 41:41              | 27.00        | 41:41              | 4.00        
                   |              | 41:41              | 28.00        | 41:41              | 4.00        
                   |              | 41:41              | 30.00        | 41:41              | 3.00        
                   |              | 41:41              | 30.00        | 41:41              | 2.00        
                   |              | 41:41              | 31.00        | 41:41              | 2.00        
                   |              | 41:41              | 31.00        | 41:41              | 1.00        
                   |              | 41:41              | 33.00        | 41:41              | 1.00        
                   |              | 41:41              | 37.00        | 41:41              | 2.00        
                   |              | 41:41              | 39.00        | 41:41              | 2.00        
                   |              | 41:41              | 40.00        | 41:41              | 3.00        
                   |              | 41:42              | 42.00        | 41:42              | 3.00        
                   |              | 41:42              | 43.00        | 41:42              | 4.00        
                   |              | 41:42              | 45.00        | 41:42              | 4.00        
                   |              | 41:42              | 46.00        | 41:42              | 5.00        
                   |              | 41:42              | 44.00        | 41:42              | 4.00        
                   |              | 41:43              | 26.00        | 41:43              | 3.00        
                   |              | 41:43              | 22.00        | 41:43              | 3.00        
                   |              | 41:43              | 19.00        | 41:43              | 4.00        
                   |              | 41:43              | 17.00        | 41:43              | 4.00        
                   |              | 41:43              | 14.00        | 41:43              | 3.00        
                   |              | 41:43              | 11.00        | 41:43              | 3.00        
                   |              | 41:43              | 3.00         | 41:43              | 2.00        
                   |              | 41:43              | 8.00         | 41:43              | 2.00        
                   |              | 41:43              | 17.00        | 41:43              | 0.00        
                   |              | 41:43              | 21.00        | 41:43              | 1.00        
                   |              | 41:43              | 33.00        | 41:43              | 2.00        
                   |              | 41:43              | 41.00        | 41:43              | 2.00        
                   |              | 41:44              | 45.00        | 41:44              | 3.00        
                   |              | 41:44              | 54.00        | 41:44              | 3.00        
                   |              | 41:44              | 58.00        | 41:44              | 4.00        
                   |              | 41:44              | 65.00        | 41:44              | 4.00        
                   |              | 41:44              | 74.00        | 41:44              | 5.00        
                   |              | 41:44              | 76.00        | 41:44              | 5.00        
                   |              | 41:44              | 84.00        | 41:44              | 6.00        
                   |              | 41:44              | 86.00        | 41:44              | 6.00        
                   |              | 41:45              | 93.00        | 41:45              | 5.00        
                   |              | 41:45              | 94.00        | 41:45              | 5.00        
                   |              | 41:45              | 96.00        | 41:45              | 6.00        
                   |              | 41:46              | 97.00        | 41:46              | 6.00        
                   |              | 41:46              | 99.00        | 41:46              | 7.00        
                   |              | 41:46              | 100.00       | 41:46              | 7.00        
                   |              | 41:47              | 98.00        | 41:47              | 6.00        
                   |              | 41:47              | 97.00        | 41:47              | 6.00        
                   |              | 41:47              | 98.00        | 41:47              | 7.00        
                   |              | 41:47              | 92.00        | 41:47              | 1.00        
                   |              | 41:47              | 92.00        | 41:47              | 2.00        
                   |              | 41:47              | 93.00        | 41:47              | 2.00        
                   |              | 41:47              | 93.00        | 41:47              | 3.00        
                   |              | 41:47              | 94.00        | 41:47              | 4.00        
                   |              | 41:47              | 94.00        | 41:47              | 4.00        
                   |              | 41:47              | 95.00        | 41:47              | 5.00        
                   |              | 41:48              | 95.00        | 41:48              | 6.00        
                   |              | 41:48              | 94.00        | 41:48              | 6.00        
                   |              | 41:48              | 94.00        | 41:48              | 7.00        
                   |              | 41:48              | 93.00        | 41:48              | 7.00        
                   |              | 41:49              | 90.00        | 41:49              | 6.00        
                   |              | 41:49              | 89.00        | 41:49              | 6.00        
                   |              | 41:49              | 88.00        | 41:49              | 5.00        
                   |              | 41:49              | 87.00        | 41:49              | 5.00        
                   |              | 41:49              | 84.00        | 41:49              | 4.00        
                   |              | 41:49              | 81.00        | 41:49              | 4.00        
                   |              | 41:49              | 67.00        | 41:49              | 5.00        
                   |              | 41:49              | 55.00        | 41:49              | 4.00        
                   |              | 41:50              | 31.00        | 41:50              | 3.00        
                   |              | 41:50              | 26.00        | 41:50              | 2.00        
                   |              | 41:50              | 22.00        | 41:50              | 2.00        
                   |              | 41:50              | 9.00         | 41:50              | 1.00        
                   |              | 41:50              | 5.00         | 41:50              | 1.00        
                   |              | 41:50              | 4.00         | 41:50              | 0.00        
                   |              | 41:50              | 1.00         | 41:50              | 0.00        
                   |              | 41:50              | 1.00         | 41:50              | 1.00        
                   |              | 41:50              | 3.00         | 41:50              | 2.00        
                   |              | 41:50              | 2.00         | 41:50              | 2.00        
                   |              | 41:51              | 1.00         | 41:51              | 1.00        
                   |              | 41:51              | 5.00         | 41:51              | 1.00        
                   |              | 41:51              | 9.00         | 41:51              | 0.00        
                   |              | 41:52              | 10.00        | 41:52              | 0.00        
                   |              | 41:52              | 12.00        | 41:52              | 1.00        
                   |              | 41:52              | 12.00        | 41:52              | 1.00        
